Trade_ID,Timestamp,Asset,Trade_Type,Entry_Price,Exit_Price,Profit_Loss,Success_Rate
1,2025-05-10 09:15:00,EUR/USD,Buy,1.1234,1.1250,16,0.65
2,2025-05-10 09:30:00,GBP/USD,Sell,1.2450,1.2430,20,0.58
3,2025-05-10 10:00:00,USD/JPY,Buy,109.75,109.90,15,0.72
4,2025-05-10 10:45:00,BTC/USD,Sell,63500,63350,150,0.60
5,2025-05-10 11:30:00,ETH/USD,Buy,3100,3125,25,0.55
6,2025-05-10 12:15:00,USD/CAD,Sell,1.3650,1.3625,25,0.63
7,2025-05-10 13:00:00,Gold,Buy,2345,2350,5,0.70
8,2025-05-10 13:45:00,S&P 500,Sell,4525,4505,20,0.59
9,2025-05-10 14:30:00,NASDAQ,Buy,14750,14790,40,0.67
10,2025-05-10 15:15:00,Oil,Sell,79.50,78.80,70,0.61